name,profile_url,place_of_birth,longitude,latitude,popularity
Beverly D'Angelo,https://www.themoviedb.org/person/821,Columbus Ohio United States,-83.0007065,39.9622601,790.4538794797588
Avery Brooks,https://www.themoviedb.org/person/822,Evansville Indiana USA,-87.5558483,37.9747645,663.8053557902075
Jennifer Lien,https://www.themoviedb.org/person/823,Palos Heights Illinois USA,-87.7962812,41.6681632,306.64641100744973
Ethan Suplee,https://www.themoviedb.org/person/824,Manhattan New York USA,-73.9598939,40.7896239,1122.0999689155078
Stacy Keach,https://www.themoviedb.org/person/825,Savannah Georgia USA,-81.0911768,32.0809263,313.04507721898375
Fairuza Balk,https://www.themoviedb.org/person/826,Point Reyes California USA,-123.0234657,37.9953181,293.612760227858
Elliott Gould,https://www.themoviedb.org/person/827,Brooklyn New York USA,-73.9497211,40.6526006,481.00145144691083
Guy Torry,https://www.themoviedb.org/person/828,St. Louis Missouri U.S.,0.0,0.0,197.20983940677922
William Russ,https://www.themoviedb.org/person/829,Portsmouth Virginia USA,-76.3532998,36.8444196,379.95136370956214
Joe Cortese,https://www.themoviedb.org/person/830,Paterson - New Jersey - USA,-74.171811,40.9167654,316.33913283062736
Ursula Buschhorn,https://www.themoviedb.org/person/847,Palo Alto California USA,-122.1598465,37.4443293,0.1511806958117418
James Stewart,https://www.themoviedb.org/person/854,Indiana Pennsylvania USA,-79.1525349,40.6214551,201.47694316145086
Lee Remick,https://www.themoviedb.org/person/855,Quincy Massachusetts USA,-71.0037374,42.2509914,20.20173678737234
Ben Gazzara,https://www.themoviedb.org/person/856,New York City New York USA,-74.0060152,40.7127281,114.59008616493094
Arthur O'Connell,https://www.themoviedb.org/person/857,New York City New York U.S.,0.0,0.0,47.77553827482995
Eve Arden,https://www.themoviedb.org/person/860,Mill Valley California U.S.,0.0,0.0,47.2789702557563
Kathryn Grant,https://www.themoviedb.org/person/861,Houston Texas USA,-95.3676974,29.7589382,18.312092659425723
George C. Scott,https://www.themoviedb.org/person/862,Wise Virginia USA,-82.5757108,36.9759345,257.3191351757503
Orson Bean,https://www.themoviedb.org/person/863,Burlington Vermont USA,-73.212906,44.4761601,449.98026232959006
Russ Brown,https://www.themoviedb.org/person/866,Philadelphia Pennsylvania USA,-75.1635262,39.9527237,5.880551508627277
Billy Bob Thornton,https://www.themoviedb.org/person/879,Hot Springs Arkansas USA,-93.0552437,34.5038393,911.4961941361624
Ben Affleck,https://www.themoviedb.org/person/880,Berkeley California USA,-122.23963364918777,37.8753497,8835.989076822136
Liv Tyler,https://www.themoviedb.org/person/882,New York City New York USA,-74.0060152,40.7127281,1243.0213749251084
Will Patton,https://www.themoviedb.org/person/883,Charleston South Carolina USA,-79.9402728,32.7876012,476.5181250855294
Steve Buscemi,https://www.themoviedb.org/person/884,New York City New York USA,-74.0060152,40.7127281,6916.581869597427
William Fichtner,https://www.themoviedb.org/person/886,Mitchell Field Air Force Base East Meadow Long Island New York USA,0.0,0.0,832.5526392904877
Owen Wilson,https://www.themoviedb.org/person/887, Dallas Texas USA,-96.7968559,32.7762719,3972.3710081595837
Allen Garfield,https://www.themoviedb.org/person/922,Newark New Jersey USA,-74.1723667,40.735657,52.645334351001
